,agg_net_price_per_unit,aggregator_name,disc_code,disc_percentage,e_backup_product_id,e_product_id,imprint,misc_product_ids,net_units,p_backup_product_id,p_product_id,pod,product_format,product_title,product_type,publisher_price,region_of_sale,revenue_value,sale_type,temp_transaction_date,tnf_net_price_per_unit,total_rental_duration,total_returns_count,total_returns_value,total_sales_count,total_sales_value,trans_currency,trans_type,transaction_date,vendor_code
41,35.31,GOOGLE,NA,0.19999999999999996,NA,9781317337997,Routledge,NA,1,NA,NA,NA,NA,Why Science Needs Art: From Historical to Modern Day Perspectives,EBK,44.14,CA,35.31,PURCHASE,31-10-2019,35.31,0,0,0.0,1,35.31,CAD,SALE,31-10-2019,NA
42,96.67,GOOGLE,NA,0.19999999999999996,NA,9781134043088,Routledge,NA,1,NA,NA,NA,NA,Urban Geography: A Global Perspective,EBK,120.84,CA,96.67,PURCHASE,31-10-2019,96.67,0,0,0.0,1,96.67,CAD,SALE,31-10-2019,NA
43,41.55,GOOGLE,NA,0.19999999999999996,NA,9781135057930,Routledge,NA,1,NA,NA,NA,NA,Doing Good: Passion and Commitment for Helping Others,EBK,51.94,CA,41.55,PURCHASE,31-10-2019,41.55,0,0,0.0,1,41.55,CAD,SALE,31-10-2019,NA
44,66.51,GOOGLE,NA,0.19999999999999996,NA,9781134611980,Routledge,NA,1,NA,NA,NA,NA,Childhood Studies: A Reader in Perspectives of Childhood,EBK,83.14,CA,66.51,PURCHASE,31-10-2019,66.51,0,0,0.0,1,66.51,CAD,SALE,31-10-2019,NA
45,56.11,GOOGLE,NA,0.19999999999999996,NA,9781135068424,Routledge,NA,1,NA,NA,NA,NA,Youth Resistance Research and Theories of Change,EBK,70.14,CA,56.11,PURCHASE,31-10-2019,56.11,0,0,0.0,1,56.11,CAD,SALE,31-10-2019,NA
46,56.11,GOOGLE,NA,0.19999999999999996,NA,9781317963578,CRC Press,NA,1,NA,NA,NA,NA,Light Science & Magic: An Introduction to Photographic Lighting,EBK,70.14,CA,56.11,PURCHASE,31-10-2019,56.11,0,0,0.0,1,56.11,CAD,SALE,31-10-2019,NA
47,58.19,GOOGLE,NA,0.19999999999999996,NA,9781315445106,Routledge,NA,1,NA,NA,NA,NA,Constructions of Neuroscience in Early Childhood Education,EBK,72.74,CA,58.19,PURCHASE,31-10-2019,58.19,0,0,0.0,1,58.19,CAD,SALE,31-10-2019,NA
48,72.75,GOOGLE,NA,0.19999999999999996,NA,9781317244257,Routledge,NA,1,NA,NA,NA,NA,Criminology,EBK,90.94,CA,72.75,PURCHASE,31-10-2019,72.75,0,0,0.0,1,72.75,CAD,SALE,31-10-2019,NA
49,47.79,GOOGLE,NA,0.19999999999999996,NA,9781135860592,Routledge,NA,1,NA,NA,NA,NA,Gatekeeping Theory,EBK,59.74,CA,47.79,PURCHASE,31-10-2019,47.79,0,0,0.0,1,47.79,CAD,SALE,31-10-2019,NA
50,94.59,GOOGLE,NA,0.19999999999999996,NA,9781498760423,CRC Press,NA,1,NA,NA,NA,NA,Game AI Pro 2: Collected Wisdom of Game AI Professionals,EBK,118.24,CA,94.59,PURCHASE,31-10-2019,94.59,0,0,0.0,1,94.59,CAD,SALE,31-10-2019,NA
